#node	date	numeric date
NODE_0001144	2009-03-21	2009.218412
EPI_ISL_223466|768934|A/California/SWL7/2009|E6|2009-04-09	2009-04-09	2009.270000
NODE_0000081	2009-04-03	2009.252180
EPI_ISL_4070999|1902518|A/California/X179A/2009||2009-06-01	2009-05-30	2009.410000
EPI_ISL_188969|617662|A/California/07-JRO09/2009|Egg_2+MDCK_2|2009-04-09	2009-04-09	2009.270000
NODE_0001150	2009-04-02	2009.250000
VDL|A/swine/USA/14020/2017|H1N1|HA|swine|2017-02-28	--	--
EPI_ISL_29618|178457|A/California/04/2009|C2|2009-04-01	2009-04-02	2009.250000
NODE_0000083	2009-05-01	2009.330000
EPI_ISL_31574|184369|A/Pennsylvania/09/2009|C1|2009-04-30	2009-05-01	2009.330000
VDL|A/swine/USA/12574/2012|Unsubtypable|HA|swine|2012-04-06	2012-04-05	2012.260000
NODE_0000084	2009-04-06	2009.262354
VDL|A/swine/USA/15102/2012|H1N2|HA|swine|2012-04-25	2012-04-27	2012.320000
NODE_0000086	2009-04-07	2009.264578
EPI_ISL_29621|185382|A/California/08/2009|C1|2009-04-09	2009-04-09	2009.270000
NODE_0000088	2009-04-08	2009.267776
NODE_0000089	2009-04-09	2009.270000
EPI_ISL_188968|617633|A/California/07-JRO03/2009|MDCK_4|2009-04-09	2009-04-09	2009.270000
EPI_ISL_188981|617648|A/California/07-JRO08/2009|Egg_1+MDCK_2|2009-04-09	2009-04-09	2009.270000
NODE_0000090	2009-04-09	2009.270000
EPI_ISL_31553|177294|A/California/07/2009|C1|2009-04-09	2009-04-09	2009.270000
EPI_ISL_188967|617718|A/California/07-JRO02/2009|MDCK_3|2009-04-09	2009-04-09	2009.270000
NODE_0000097	2008-10-30	2008.828110
NODE_0001180	2008-12-19	2008.964670
EPI_ISL_61296|212745|A/New_York/3577/2009||2009-05-19	2009-05-19	2009.380000
NODE_0001190	2009-03-27	2009.233818
EPI_ISL_80194|282895|A/Silver_Spring/WRAIRSP510P2/2009|MDCK2|2009-06-18	2009-06-17	2009.460000
EPI_ISL_80196|282911|A/Silver_Spring/WRAIRSP510P3/2009|MDCK3|2009-06-18	2009-06-17	2009.460000
NODE_0001191	2009-04-24	2009.311454
EPI_ISL_80198|282927|A/San_Diego/WR1625P/2009|MDCK2|2009-06-12	2009-06-10	2009.440000
EPI_ISL_80197|282919|A/San_Diego/WR1624P/2009|MDCK2|2009-06-13	2009-06-14	2009.450000
NODE_0001210	2009-06-23	2009.474390
EPI_ISL_87622|308429|A/Chicago/WRAIR1690P/2009|MDCK2|2009-10-14	2009-10-12	2009.780000
NODE_0001211	2009-08-11	2009.608917
EPI_ISL_74120|254738|A/California/VRDL84/2009|P0|2009-10-09	2009-10-05	2009.760000
EPI_ISL_75134|258630|A/District_of_Columbia/INS114/2009|P0|2009-11-04	2009-10-30	2009.830000
EPI_ISL_71282|246812|A/New_York/6607/2009|P0|2009-11-24	2009-11-21	2009.890000
NODE_0000136	2009-08-27	2009.652139
EPI_ISL_70779|245572|A/San_Diego/INS35/2009||2009-10-26	2009-10-23	2009.810000
NODE_0000185	2009-09-14	2009.702139
EPI_ISL_76712|270415|A/California/VRDL107/2009|P0|2009-11-15	2009-11-10	2009.860000
NODE_0000187	2009-09-17	2009.712211
EPI_ISL_76905|271459|A/Pensacola/INS213/2009|P0|2009-11-17	2009-11-14	2009.870000
NODE_0000188	2009-10-03	2009.755552
NODE_0001221	2009-12-02	2009.920000
EPI_ISL_76720|270479|A/California/VRDL115/2009|P0|2009-12-04	2009-12-02	2009.920000
EPI_ISL_71959|250026|A/Maryland/04/2010|C1|2010-02-08	2010-02-06	2010.100000
NODE_0000190	2009-10-04	2009.757776
EPI_ISL_74146|254946|A/New_York/6939/2009|P0|2009-12-11	2009-12-06	2009.930000
NODE_0000191	2009-10-05	2009.760000
EPI_ISL_75122|258534|A/California/VRDL87/2009|P0|2009-10-09	2009-10-05	2009.760000
NODE_0000193	2009-10-20	2009.800000
EPI_ISL_75116|258486|A/California/VRDL101/2009|P0|2009-11-05	2009-11-03	2009.840000
EPI_ISL_71494|247705|A/New_York/5447/2009||2009-10-23	2009-10-20	2009.800000
NODE_0000144	2009-02-03	2009.092092
NODE_0001201	2009-04-02	2009.251086
EPI_ISL_32026|221160|A/South_Carolina/13/2009|C2|2009-05-01	2009-05-01	2009.330000
NODE_0000173	2009-04-26	2009.317776
NODE_0000175	2009-04-27	2009.320000
EPI_ISL_29958|178414|A/South_Carolina/09/2009|C1|2009-04-26	2009-04-27	2009.320000
EPI_ISL_30698|181751|A/South_Carolina/10/2009|E2|2009-04-26	2009-04-27	2009.320000
NODE_0000177	2009-04-27	2009.320000
EPI_ISL_30706|194197|A/Missouri/01/2009|C1|2009-04-27	2009-04-27	2009.320000
NODE_0000178	2009-05-01	2009.330000
EPI_ISL_30719|181820|A/South_Dakota/05/2009|C1|2009-04-30	2009-05-01	2009.330000
NODE_0000181	2009-05-04	2009.337776
EPI_ISL_61312|212873|A/New_York/3709/2009||2009-05-28	2009-05-30	2009.410000
NODE_0000182	2009-05-05	2009.340000
EPI_ISL_30712|181800|A/Missouri/03/2009|C1|2009-05-04	2009-05-05	2009.340000
EPI_ISL_31171|194158|A/Idaho/03/2009|C1|2009-05-05	2009-05-05	2009.340000
NODE_0000166	2009-02-05	2009.096198
NODE_0001199	2009-05-30	2009.410000
EPI_ISL_62677|218986|A/Wisconsin/629-D02263/2009|P0|2009-06-12	2009-06-10	2009.440000
EPI_ISL_62642|218706|A/Wisconsin/629-D00724/2009|P0|2009-06-01	2009-05-30	2009.410000
NODE_0000168	2009-02-08	2009.106097
EPI_ISL_60800|211429|A/Illinois/10/2009|C4|2009-07-31	2009-07-31	2009.580000
NODE_0000170	2009-03-04	2009.172062
EPI_ISL_32016|185390|A/California/19/2009|C1|2009-04-30	2009-05-01	2009.330000
NODE_0000171	2009-03-15	2009.202163
NODE_0001222	2009-05-12	2009.360000
EPI_ISL_63950|224136|A/Houston/10H/2009|harvest-Rh1|2009-05-13	2009-05-12	2009.360000
EPI_ISL_62455|217455|A/Houston/1OS/2009||2009-05-13	2009-05-12	2009.360000
EPI_ISL_63949|224128|A/Houston/10OS/2009||2009-05-13	2009-05-12	2009.360000
NODE_0000195	2009-05-16	2009.370199
NODE_0000196	2009-05-22	2009.387776
NODE_0000198	2009-05-23	2009.390000
EPI_ISL_63946|224104|A/Houston/7OS/2009||2009-05-21	2009-05-23	2009.390000
EPI_ISL_63948|224120|A/Houston/9H/2009|harvest-Rh1|2009-05-21	2009-05-23	2009.390000
NODE_0000199	2009-05-23	2009.390000
EPI_ISL_62457|217471|A/Houston/9OS/2009||2009-05-21	2009-05-23	2009.390000
EPI_ISL_63947|224112|A/Houston/7H/2009|harvest-Rh1|2009-05-21	2009-05-23	2009.390000
NODE_0000202	2009-05-17	2009.374441
NODE_0000205	2009-05-18	2009.377776
NODE_0000207	2009-05-19	2009.380000
EPI_ISL_63940|224056|A/Houston/3OS/2009||2009-05-18	2009-05-19	2009.380000
EPI_ISL_63943|224080|A/Houston/5H/2009|harvest-Rh1|2009-05-19	2009-05-19	2009.380000
NODE_0000208	2009-05-19	2009.380000
EPI_ISL_63939|224048|A/Houston/2OS/2009||2009-05-18	2009-05-19	2009.380000
EPI_ISL_63941|224064|A/Houston/3H/2009|harvest-Rh1|2009-05-18	2009-05-19	2009.380000
NODE_0000209	2009-05-18	2009.377776
NODE_0000210	2009-05-19	2009.380000
EPI_ISL_63942|224072|A/Houston/5OS/2009||2009-05-19	2009-05-19	2009.380000
EPI_ISL_62456|217463|A/Houston/2H/2009|harvest-Rh1|2009-05-18	2009-05-19	2009.380000
NODE_0000211	2009-05-19	2009.380000
EPI_ISL_63944|224088|A/Houston/6OS/2009||2009-05-20	2009-05-19	2009.380000
EPI_ISL_63945|224096|A/Houston/6H/2009|harvest-Rh1|2009-05-20	2009-05-19	2009.380000
NODE_0000194	2009-04-06	2009.262114
NODE_0001208	2009-06-03	2009.420000
EPI_ISL_62625|218570|A/Wisconsin/629-D00022/2009|P0|2009-06-02	2009-06-03	2009.420000
EPI_ISL_62666|218898|A/Wisconsin/629-D01844/2009|P0|2009-06-15	2009-06-14	2009.450000
NODE_0000248	2009-04-13	2009.282113
NODE_0001196	2009-06-10	2009.440000
EPI_ISL_61329|213009|A/New_York/3967/2009||2009-06-09	2009-06-10	2009.440000
EPI_ISL_63822|223209|A/New_York/3969/2009||2009-06-09	2009-06-10	2009.440000
NODE_0000212	2009-04-17	2009.292139
EPI_ISL_62660|218850|A/Wisconsin/629-D01619/2009|P0|2009-06-15	2009-06-14	2009.450000
NODE_0000213	2009-04-23	2009.309154
EPI_ISL_62676|218978|A/Wisconsin/629-D02220/2009|P0|2009-06-21	2009-06-21	2009.470000
NODE_0000215	2009-04-24	2009.311378
EPI_ISL_35026|194290|A/Washington/37/2009|C1|2009-06-24	2009-06-25	2009.480000
NODE_0000216	2009-04-25	2009.314578
NODE_0001207	2009-07-16	2009.537232
EPI_ISL_73479|252586|A/Pensacola/INS107/2009|P0|2009-11-12	2009-11-07	2009.850000
EPI_ISL_89609|315427|A/Boston/594/2009||2009-10-22	2009-10-20	2009.800000
NODE_0000218	2009-04-26	2009.317776
NODE_0000219	2009-04-27	2009.320000
EPI_ISL_31567|184346|A/Pennsylvania/10/2009|C1|2009-04-28	2009-04-27	2009.320000
EPI_ISL_30685|181669|A/New_York/3181/2009||2009-04-28	2009-04-27	2009.320000
NODE_0000220	2009-04-27	2009.320000
EPI_ISL_31566|221098|A/Louisiana/01/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000221	2009-04-29	2009.324578
NODE_0000222	2009-04-30	2009.327776
NODE_0000225	2009-05-01	2009.330000
EPI_ISL_60823|211487|A/Pennsylvania/07/2009|C1|2009-04-30	2009-05-01	2009.330000
EPI_ISL_30711|181797|A/Louisiana/04/2009|C1|2009-04-30	2009-05-01	2009.330000
NODE_0000226	2009-05-01	2009.330000
EPI_ISL_31570|184353|A/Louisiana/02/2009|C1|2009-04-29	2009-05-01	2009.330000
EPI_ISL_31569|184350|A/Indiana/12/2009|C1|2009-04-29	2009-05-01	2009.330000
NODE_0000228	2009-05-01	2009.330000
EPI_ISL_30968|182745|A/New_York/3177/2009||2009-05-02	2009-05-01	2009.330000
NODE_0000230	2009-05-07	2009.347776
NODE_0000233	2009-05-08	2009.350000
EPI_ISL_31156|183113|A/Arkansas/03/2009|C2|2009-05-07	2009-05-08	2009.350000
EPI_ISL_61574|214466|A/Wisconsin/629-D01313/2009|MDCK1|2009-05-08	2009-05-08	2009.350000
NODE_0000234	2009-05-23	2009.390000
EPI_ISL_31172|183156|A/Illinois/04/2009|C1|2009-05-23	2009-05-23	2009.390000
NODE_0000235	2009-05-30	2009.410000
EPI_ISL_61603|214698|A/Wisconsin/629-D02013/2009||2009-05-30	2009-05-30	2009.410000
NODE_0000236	2009-06-14	2009.450000
EPI_ISL_89966|316699|A/Wisconsin/629-D00889/2009|P0|2009-06-15	2009-06-14	2009.450000
NODE_0000237	2009-06-17	2009.457776
EPI_ISL_76051|266666|A/Boston/132/2009|P0|2009-06-19	2009-06-17	2009.460000
NODE_0000238	2009-06-17	2009.460000
EPI_ISL_65018|227785|A/Oregon/13/2009|C1|2009-06-18	2009-06-17	2009.460000
NODE_0000240	2009-06-21	2009.470000
EPI_ISL_76039|266570|A/Boston/118/2009|P0|2009-06-20	2009-06-21	2009.470000
NODE_0000243	2009-06-25	2009.480000
EPI_ISL_60826|211491|A/Texas/47/2009|C1|2009-06-26	2009-06-25	2009.480000
NODE_0000245	2009-06-28	2009.490000
EPI_ISL_62547|218159|A/New_York/4691/2009||2009-06-30	2009-06-28	2009.490000
NODE_0000246	2009-08-08	2009.600000
EPI_ISL_35004|194141|A/Florida/12/2009|ORIGINAL|2009-08-08	2009-08-08	2009.600000
JX042528|A/swine/Minnestoa/A01076188/2010|H1N1|USA|01/24/2010	2010-01-26	2010.070000
NODE_0000285	2008-11-28	2008.907773
NODE_0001086	2009-02-01	2009.086635
NODE_0000060	2009-05-01	2009.330000
EPI_ISL_33228|187765|A/New_York/3460/2009||2009-05-04	2009-05-05	2009.340000
EPI_ISL_61287|212673|A/New_York/3443/2009|RhMK1|2009-05-01	2009-05-01	2009.330000
NODE_0001088	2009-04-03	2009.254226
EPI_ISL_30723|181827|A/Texas/17/2009|E2|2009-04-24	2009-04-24	2009.310000
EPI_ISL_63971|224304|A/Brownsville/35OS/2009||2009-05-27	2009-05-27	2009.400000
NODE_0000062	2009-04-26	2009.317776
EPI_ISL_32029|185433|A/Texas/20/2009|E2|2009-04-25	2009-04-27	2009.320000
NODE_0000064	2009-04-27	2009.320000
EPI_ISL_31557|184319|A/Texas/37/2009|C1|2009-04-26	2009-04-27	2009.320000
EPI_ISL_63972|224312|A/Brownsville/35H/2009|harvest-Rh1|2009-05-27	2009-05-27	2009.400000
NODE_0000292	2008-11-28	2008.907773
NODE_0001153	2009-01-17	2009.045086
EPI_ISL_33570|189095|A/California/27/2009|C2|2009-05-01	2009-05-01	2009.330000
EPI_ISL_61793|215210|A/Craven/WR0019/2009|MDCK2|2009-05-05	2009-05-05	2009.340000
NODE_0001169	2009-04-01	2009.248105
EPI_ISL_32630|186641|A/Brawley/40081/2009|MDCK2|2009-04-22	2009-04-24	2009.310000
NODE_0000141	2009-04-24	2009.310000
EPI_ISL_30125|179223|A/California/12/2009|C1|2009-04-22	2009-04-24	2009.310000
EPI_ISL_30495|180592|A/California/11/2009|E2|2009-04-24	2009-04-24	2009.310000
NODE_0001172	2009-02-23	2009.145344
EPI_ISL_61788|215182|A/Cherry_Point/WR0101/2009|MDCK2|2009-05-02	2009-05-01	2009.330000
EPI_ISL_61790|215198|A/Cherry_Point/WR1355/2009|MDCK2|2009-04-28	2009-04-27	2009.320000
EPI_ISL_61786|215166|A/Cherry_Point/WR0080/2009|MDCK2|2009-04-30	2009-05-01	2009.330000
NODE_0001177	2009-04-02	2009.250000
EPI_ISL_31576|221156|A/Pennsylvania/08/2009|C1|2009-05-02	2009-05-01	2009.330000
EPI_ISL_29967|185403|A/Nebraska/02/2009|C1|2009-04-01	2009-04-02	2009.250000
NODE_0000145	2009-04-25	2009.314578
NODE_0000147	2009-04-26	2009.317776
EPI_ISL_30707|181785|A/South_Dakota/04/2009|C1|2009-05-05	2009-05-05	2009.340000
NODE_0000148	2009-04-27	2009.320000
EPI_ISL_34546|221099|A/Maine/01/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_30499|180602|A/Idaho/02/2009|C2|2009-04-28	2009-04-27	2009.320000
NODE_0000150	2009-04-26	2009.317776
NODE_0000152	2009-04-27	2009.320000
EPI_ISL_30193|179574|A/Wisconsin/09/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_30497|180596|A/Colorado/04/2009|E2|2009-04-26	2009-04-27	2009.320000
NODE_0000153	2009-04-27	2009.320000
EPI_ISL_29968|178451|A/Colorado/03/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_30160|179330|A/Washington/11/2009|C1|2009-04-26	2009-04-27	2009.320000
NODE_0000306	2009-02-18	2009.132136
EPI_ISL_29576|176499|A/California/06/2009|M1|2009-04-16	2009-04-16	2009.290000
NODE_0000310	2009-02-28	2009.160985
EPI_ISL_30725|181831|A/Arizona/06/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000311	2009-03-01	2009.163555
NODE_0001163	2009-04-27	2009.320000
EPI_ISL_30729|181836|A/California/17/2009|E2|2009-04-25	2009-04-27	2009.320000
NODE_0000139	2009-05-01	2009.330000
EPI_ISL_80204|282975|A/San_Diego/WR1631P/2009|MDCK2|2009-04-30	2009-05-01	2009.330000
EPI_ISL_60788|211404|A/California/22/2009|C2|2009-05-04	2009-05-05	2009.340000
NODE_0000315	2009-03-04	2009.170721
NODE_0001167	2009-05-01	2009.330000
EPI_ISL_61789|215190|A/Cherry_Point/WR0102/2009|MDCK2|2009-05-02	2009-05-01	2009.330000
EPI_ISL_61794|215218|A/Craven/WR0093/2009|MDCK2|2009-05-04	2009-05-05	2009.340000
NODE_0000317	2009-03-04	2009.171414
NODE_0001175	2009-05-01	2009.330000
EPI_ISL_80206|282987|A/San_Diego/WR1633P/2009|MDCK2|2009-05-01	2009-05-01	2009.330000
EPI_ISL_32017|185392|A/California/20/2009|C1|2009-05-01	2009-05-01	2009.330000
EPI_ISL_80207|282995|A/San_Diego/WR1634P/2009|MDCK2|2009-05-02	2009-05-01	2009.330000
EPI_ISL_80212|283035|A/San_Diego/WR1641P/2009|MDCK2|2009-05-02	2009-05-01	2009.330000
NODE_0000322	2009-03-04	2009.172044
EPI_ISL_80209|283011|A/Brawley/WR1636P/2009|MDCK2|2009-04-29	2009-05-01	2009.330000
NODE_0000328	2009-03-04	2009.172081
EPI_ISL_80202|282959|A/San_Diego/WR1629P/2009|MDCK2|2009-04-30	2009-05-01	2009.330000
NODE_0000329	2009-03-05	2009.174148
EPI_ISL_80205|282980|A/San_Diego/WR1632P/2009|MDCK2|2009-05-02	2009-05-01	2009.330000
NODE_0000154	2009-04-02	2009.250000
EPI_ISL_29575|176493|A/California/05/2009|C1|2009-03-30	2009-04-02	2009.250000
NODE_0000157	2009-04-09	2009.270000
EPI_ISL_29624|176634|A/California/10/2009|ORIGINAL|2009-04-08	2009-04-09	2009.270000
NODE_0000158	2009-04-19	2009.297776
NODE_0000160	2009-04-20	2009.300000
EPI_ISL_30126|179224|A/California/13/2009|C1|2009-04-21	2009-04-20	2009.300000
EPI_ISL_32631|186649|A/Brawley/40082/2009|MDCK2|2009-04-21	2009-04-20	2009.300000
NODE_0000161	2009-04-27	2009.320000
EPI_ISL_80208|283003|A/Brawley/WR1635P/2009|MDCK2|2009-04-28	2009-04-27	2009.320000
NODE_0000162	2009-04-30	2009.326912
NODE_0000164	2009-05-01	2009.330000
EPI_ISL_31573|184365|A/Hawaii/09/2009|C1|2009-04-30	2009-05-01	2009.330000
EPI_ISL_30140|194199|A/Nevada/05/2009|C1|2009-04-29	2009-05-01	2009.330000
NODE_0000165	2009-05-01	2009.330000
EPI_ISL_31215|183304|A/California/18/2009|C1|2009-04-30	2009-05-01	2009.330000
EPI_ISL_80203|282967|A/San_Diego/WR1630P/2009|MDCK2|2009-05-08	2009-05-08	2009.350000
NODE_0000344	2008-11-28	2008.907827
NODE_0001092	2009-01-24	2009.064881
NODE_0000346	2009-02-25	2009.152060
EPI_ISL_30139|179268|A/Kansas/03/2009|E2|2009-04-24	2009-04-24	2009.310000
NODE_0000347	2009-03-01	2009.162106
NODE_0001098	2009-04-27	2009.320000
EPI_ISL_30100|179124|A/Florida/04/2009|C1|2009-04-27	2009-04-27	2009.320000
EPI_ISL_31164|194140|A/Florida/08/2009|C1|2009-04-29	2009-05-01	2009.330000
NODE_0000067	2009-05-08	2009.350000
EPI_ISL_61280|212617|A/New_York/3323/2009||2009-05-06	2009-05-08	2009.350000
NODE_0000068	2009-05-11	2009.357776
EPI_ISL_61294|212729|A/New_York/3574/2009||2009-05-17	2009-05-19	2009.380000
NODE_0000069	2009-05-12	2009.360000
EPI_ISL_61289|212689|A/New_York/3455/2009||2009-05-11	2009-05-12	2009.360000
EPI_ISL_61288|212681|A/New_York/3454/2009||2009-05-11	2009-05-12	2009.360000
NODE_0001099	2009-03-24	2009.225043
EPI_ISL_61583|214538|A/Wisconsin/629-D01606/2009|MDCK1|2009-05-03	2009-05-05	2009.340000
EPI_ISL_62652|218786|A/Wisconsin/629-D01154/2009|P0|2009-05-13	2009-05-12	2009.360000
NODE_0000071	2009-05-01	2009.330000
EPI_ISL_61613|214778|A/Wisconsin/629-D02312/2009|MDCK1|2009-05-02	2009-05-01	2009.330000
NODE_0000072	2009-05-04	2009.337776
NODE_0000073	2009-05-05	2009.340000
EPI_ISL_61569|214426|A/Wisconsin/629-D01226/2009|MDCK1|2009-05-04	2009-05-05	2009.340000
EPI_ISL_61554|214306|A/Wisconsin/629-D00790/2009|MDCK1|2009-05-04	2009-05-05	2009.340000
NODE_0000076	2009-05-08	2009.350000
EPI_ISL_61619|214826|A/Wisconsin/629-D02452/2009|MDCK1|2009-05-08	2009-05-08	2009.350000
NODE_0000077	2009-05-19	2009.380000
EPI_ISL_62643|218714|A/Wisconsin/629-D00725/2009|P0|2009-06-04	2009-06-03	2009.420000
EPI_ISL_61550|214274|A/Wisconsin/629-D00722/2009|MDCK1|2009-05-19	2009-05-19	2009.380000
NODE_0000392	2009-01-02	2009.004197
NODE_0001134	2009-04-27	2009.320000
EPI_ISL_60794|211421|A/Florida/06/2009|C1|2009-04-26	2009-04-27	2009.320000
EPI_ISL_60793|211420|A/Florida/05/2009|C1|2009-04-28	2009-04-27	2009.320000
NODE_0000395	2009-01-21	2009.055672
EPI_ISL_34538|191937|A/Washington/29/2009|X|2009-07-14	2009-07-13	2009.530000
NODE_0000091	2009-02-28	2009.160924
