#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_80203|282967|A/San_Diego/WR1630P/2009|MDCK2|2009-05-08, 2009.35, 0.001476, 0.000398
EPI_ISL_80208|283003|A/Brawley/WR1635P/2009|MDCK2|2009-04-28, 2009.32, 0.001476, 0.000509
EPI_ISL_31573|184365|A/Hawaii/09/2009|C1|2009-04-30, 2009.33, 0.001476, 0.000472
EPI_ISL_29575|176493|A/California/05/2009|C1|2009-03-30, 2009.25, 0.001476, 0.000770
EPI_ISL_31215|183304|A/California/18/2009|C1|2009-04-30, 2009.33, 0.001476, 0.000472
EPI_ISL_32631|186649|A/Brawley/40082/2009|MDCK2|2009-04-21, 2009.3, 0.001476, 0.000584
EPI_ISL_29624|176634|A/California/10/2009|ORIGINAL|2009-04-08, 2009.27, 0.001476, 0.000696
EPI_ISL_80209|283011|A/Brawley/WR1636P/2009|MDCK2|2009-04-29, 2009.33, 0.002060, 0.001056
EPI_ISL_80202|282959|A/San_Diego/WR1629P/2009|MDCK2|2009-04-30, 2009.33, 0.002060, 0.001056
EPI_ISL_30126|179224|A/California/13/2009|C1|2009-04-21, 2009.3, 0.001480, 0.000589
EPI_ISL_61786|215166|A/Cherry_Point/WR0080/2009|MDCK2|2009-04-30, 2009.33, 0.002647, 0.001643
EPI_ISL_61789|215190|A/Cherry_Point/WR0102/2009|MDCK2|2009-05-02, 2009.33, 0.002068, 0.001065
EPI_ISL_61794|215218|A/Craven/WR0093/2009|MDCK2|2009-05-04, 2009.34, 0.002068, 0.001027
EPI_ISL_80206|282987|A/San_Diego/WR1633P/2009|MDCK2|2009-05-01, 2009.33, 0.002067, 0.001063
EPI_ISL_32017|185392|A/California/20/2009|C1|2009-05-01, 2009.33, 0.002067, 0.001063
EPI_ISL_80207|282995|A/San_Diego/WR1634P/2009|MDCK2|2009-05-02, 2009.33, 0.002067, 0.001063
EPI_ISL_80212|283035|A/San_Diego/WR1641P/2009|MDCK2|2009-05-02, 2009.33, 0.002067, 0.001063
EPI_ISL_31576|221156|A/Pennsylvania/08/2009|C1|2009-05-02, 2009.33, 0.002647, 0.001643
EPI_ISL_29967|185403|A/Nebraska/02/2009|C1|2009-04-01, 2009.25, 0.002069, 0.001364
EPI_ISL_30497|180596|A/Colorado/04/2009|E2|2009-04-26, 2009.32, 0.002069, 0.001103
EPI_ISL_29968|178451|A/Colorado/03/2009|C1|2009-04-27, 2009.32, 0.002069, 0.001103
EPI_ISL_30160|179330|A/Washington/11/2009|C1|2009-04-26, 2009.32, 0.002069, 0.001103
EPI_ISL_30193|179574|A/Wisconsin/09/2009|C1|2009-04-27, 2009.32, 0.002069, 0.001103
EPI_ISL_30707|181785|A/South_Dakota/04/2009|C1|2009-05-05, 2009.34, 0.002069, 0.001029
EPI_ISL_30499|180602|A/Idaho/02/2009|C2|2009-04-28, 2009.32, 0.002069, 0.001103
EPI_ISL_34546|221099|A/Maine/01/2009|C1|2009-04-27, 2009.32, 0.002069, 0.001103
EPI_ISL_63951|224144|A/Houston/13OS/2009||2009-04-28, 2009.32, 0.001471, 0.000504
EPI_ISL_31190|221107|A/Missouri/04/2009|C2|2009-05-10, 2009.36, 0.002054, 0.000939
EPI_ISL_31166|191974|A/Florida/10/2009|C1|2009-04-30, 2009.33, 0.001473, 0.000470
EPI_ISL_62208|216708|A/Alaska/38/2009|C2|2009-09-11, 2009.69, 0.003217, 0.000872
EPI_ISL_35026|194290|A/Washington/37/2009|C1|2009-06-24, 2009.48, 0.002055, 0.000492
EPI_ISL_61296|212745|A/New_York/3577/2009||2009-05-19, 2009.38, 0.002637, 0.001447
EPI_ISL_60826|211491|A/Texas/47/2009|C1|2009-06-26, 2009.48, 0.001475, -0.000087
EPI_ISL_32016|185390|A/California/19/2009|C1|2009-04-30, 2009.33, 0.002060, 0.001057
EPI_ISL_62676|218978|A/Wisconsin/629-D02220/2009|P0|2009-06-21, 2009.47, 0.002060, 0.000535
EPI_ISL_30968|182745|A/New_York/3177/2009||2009-05-02, 2009.33, 0.001480, 0.000477
EPI_ISL_62677|218986|A/Wisconsin/629-D02263/2009|P0|2009-06-12, 2009.44, 0.002648, 0.001234
EPI_ISL_62642|218706|A/Wisconsin/629-D00724/2009|P0|2009-06-01, 2009.41, 0.002648, 0.001346
EPI_ISL_62625|218570|A/Wisconsin/629-D00022/2009|P0|2009-06-02, 2009.42, 0.002067, 0.000728
EPI_ISL_62666|218898|A/Wisconsin/629-D01844/2009|P0|2009-06-15, 2009.45, 0.002067, 0.000616
EPI_ISL_62660|218850|A/Wisconsin/629-D01619/2009|P0|2009-06-15, 2009.45, 0.002067, 0.000616
EPI_ISL_60800|211429|A/Illinois/10/2009|C4|2009-07-31, 2009.58, 0.003233, 0.001298
EPI_ISL_63950|224136|A/Houston/10H/2009|harvest-Rh1|2009-05-13, 2009.36, 0.002074, 0.000958
EPI_ISL_63947|224112|A/Houston/7H/2009|harvest-Rh1|2009-05-21, 2009.39, 0.002074, 0.000846
EPI_ISL_63943|224080|A/Houston/5H/2009|harvest-Rh1|2009-05-19, 2009.38, 0.002071, 0.000881
EPI_ISL_62457|217471|A/Houston/9OS/2009||2009-05-21, 2009.39, 0.002071, 0.000844
EPI_ISL_63948|224120|A/Houston/9H/2009|harvest-Rh1|2009-05-21, 2009.39, 0.002071, 0.000844
EPI_ISL_62456|217463|A/Houston/2H/2009|harvest-Rh1|2009-05-18, 2009.38, 0.002071, 0.000881
EPI_ISL_63942|224072|A/Houston/5OS/2009||2009-05-19, 2009.38, 0.002071, 0.000881
EPI_ISL_63945|224096|A/Houston/6H/2009|harvest-Rh1|2009-05-20, 2009.38, 0.002071, 0.000881
EPI_ISL_63946|224104|A/Houston/7OS/2009||2009-05-21, 2009.39, 0.002071, 0.000844
EPI_ISL_62455|217455|A/Houston/1OS/2009||2009-05-13, 2009.36, 0.002071, 0.000956
EPI_ISL_63940|224056|A/Houston/3OS/2009||2009-05-18, 2009.38, 0.002071, 0.000881
EPI_ISL_63939|224048|A/Houston/2OS/2009||2009-05-18, 2009.38, 0.002071, 0.000881
EPI_ISL_63944|224088|A/Houston/6OS/2009||2009-05-20, 2009.38, 0.002071, 0.000881
EPI_ISL_63941|224064|A/Houston/3H/2009|harvest-Rh1|2009-05-18, 2009.38, 0.002071, 0.000881
EPI_ISL_63949|224128|A/Houston/10OS/2009||2009-05-13, 2009.36, 0.002071, 0.000956
EPI_ISL_30711|181797|A/Louisiana/04/2009|C1|2009-04-30, 2009.33, 0.001487, 0.000484
EPI_ISL_30685|181669|A/New_York/3181/2009||2009-04-28, 2009.32, 0.001487, 0.000521
EPI_ISL_31156|183113|A/Arkansas/03/2009|C2|2009-05-07, 2009.35, 0.001487, 0.000409
EPI_ISL_65018|227785|A/Oregon/13/2009|C1|2009-06-18, 2009.46, 0.001487, -0.000001
EPI_ISL_61574|214466|A/Wisconsin/629-D01313/2009|MDCK1|2009-05-08, 2009.35, 0.001487, 0.000409
EPI_ISL_62547|218159|A/New_York/4691/2009||2009-06-30, 2009.49, 0.001487, -0.000112
EPI_ISL_31570|184353|A/Louisiana/02/2009|C1|2009-04-29, 2009.33, 0.001487, 0.000484
EPI_ISL_60823|211487|A/Pennsylvania/07/2009|C1|2009-04-30, 2009.33, 0.001487, 0.000484
EPI_ISL_31569|184350|A/Indiana/12/2009|C1|2009-04-29, 2009.33, 0.001487, 0.000484
EPI_ISL_61603|214698|A/Wisconsin/629-D02013/2009||2009-05-30, 2009.41, 0.001487, 0.000186
EPI_ISL_31172|183156|A/Illinois/04/2009|C1|2009-05-23, 2009.39, 0.001487, 0.000260
EPI_ISL_76039|266570|A/Boston/118/2009|P0|2009-06-20, 2009.47, 0.001487, -0.000038
EPI_ISL_31566|221098|A/Louisiana/01/2009|C1|2009-04-28, 2009.32, 0.001487, 0.000521
EPI_ISL_35004|194141|A/Florida/12/2009|ORIGINAL|2009-08-08, 2009.6, 0.001487, -0.000522
EPI_ISL_31567|184346|A/Pennsylvania/10/2009|C1|2009-04-28, 2009.32, 0.001487, 0.000521
EPI_ISL_89966|316699|A/Wisconsin/629-D00889/2009|P0|2009-06-15, 2009.45, 0.001487, 0.000037
EPI_ISL_76051|266666|A/Boston/132/2009|P0|2009-06-19, 2009.46, 0.001492, 0.000004
EPI_ISL_80194|282895|A/Silver_Spring/WRAIRSP510P2/2009|MDCK2|2009-06-18, 2009.46, 0.004433, 0.002945
EPI_ISL_80196|282911|A/Silver_Spring/WRAIRSP510P3/2009|MDCK3|2009-06-18, 2009.46, 0.004429, 0.002941
EPI_ISL_80198|282927|A/San_Diego/WR1625P/2009|MDCK2|2009-06-12, 2009.44, 0.003826, 0.002413
EPI_ISL_80197|282919|A/San_Diego/WR1624P/2009|MDCK2|2009-06-13, 2009.45, 0.003822, 0.002371
JX042528|A/swine/Minnestoa/A01076188/2010|H1N1|USA|01/24/2010, 2010.07, 0.002074, -0.001687
EPI_ISL_61329|213009|A/New_York/3967/2009||2009-06-09, 2009.44, 0.002078, 0.000665
EPI_ISL_63822|223209|A/New_York/3969/2009||2009-06-09, 2009.44, 0.002078, 0.000665
EPI_ISL_73479|252586|A/Pensacola/INS107/2009|P0|2009-11-12, 2009.85, 0.002660, -0.000281
EPI_ISL_89609|315427|A/Boston/594/2009||2009-10-22, 2009.8, 0.003246, 0.000491
EPI_ISL_32026|221160|A/South_Carolina/13/2009|C2|2009-05-01, 2009.33, 0.002656, 0.001652
EPI_ISL_31171|194158|A/Idaho/03/2009|C1|2009-05-05, 2009.34, 0.002079, 0.001038
EPI_ISL_30698|181751|A/South_Carolina/10/2009|E2|2009-04-26, 2009.32, 0.002081, 0.001115
EPI_ISL_30712|181800|A/Missouri/03/2009|C1|2009-05-04, 2009.34, 0.002081, 0.001040
EPI_ISL_30706|194197|A/Missouri/01/2009|C1|2009-04-27, 2009.32, 0.002081, 0.001115
EPI_ISL_29958|178414|A/South_Carolina/09/2009|C1|2009-04-26, 2009.32, 0.002081, 0.001115
EPI_ISL_61312|212873|A/New_York/3709/2009||2009-05-28, 2009.41, 0.002081, 0.000779
EPI_ISL_30719|181820|A/South_Dakota/05/2009|C1|2009-04-30, 2009.33, 0.002081, 0.001077
EPI_ISL_87622|308429|A/Chicago/WRAIR1690P/2009|MDCK2|2009-10-14, 2009.78, 0.005004, 0.002323
EPI_ISL_76905|271459|A/Pensacola/INS213/2009|P0|2009-11-17, 2009.87, 0.004991, 0.001976
EPI_ISL_76712|270415|A/California/VRDL107/2009|P0|2009-11-15, 2009.86, 0.004995, 0.002016
EPI_ISL_75116|258486|A/California/VRDL101/2009|P0|2009-11-05, 2009.84, 0.004417, 0.001513
EPI_ISL_74146|254946|A/New_York/6939/2009|P0|2009-12-11, 2009.93, 0.005004, 0.001765
EPI_ISL_70779|245572|A/San_Diego/INS35/2009||2009-10-26, 2009.81, 0.005004, 0.002212
EPI_ISL_75122|258534|A/California/VRDL87/2009|P0|2009-10-09, 2009.76, 0.004421, 0.001816
EPI_ISL_71494|247705|A/New_York/5447/2009||2009-10-23, 2009.8, 0.004421, 0.001667
EPI_ISL_75134|258630|A/District_of_Columbia/INS114/2009|P0|2009-11-04, 2009.83, 0.005584, 0.002718
EPI_ISL_71282|246812|A/New_York/6607/2009|P0|2009-11-24, 2009.89, 0.006168, 0.003078
EPI_ISL_74120|254738|A/California/VRDL84/2009|P0|2009-10-09, 2009.76, 0.005003, 0.002397
EPI_ISL_76720|270479|A/California/VRDL115/2009|P0|2009-12-04, 2009.92, 0.005006, 0.001804
EPI_ISL_71959|250026|A/Maryland/04/2010|C1|2010-02-08, 2010.1, 0.005586, 0.001713
EPI_ISL_31561|184332|A/Washington/08/2009|C1|2009-04-27, 2009.32, 0.000891, -0.000075
EPI_ISL_32025|185423|A/Oregon/07/2009|C2|2009-04-29, 2009.33, 0.000891, -0.000112
EPI_ISL_30153|179311|A/North_Carolina/06/2009|C1|2009-04-28, 2009.32, 0.000891, -0.000075
EPI_ISL_30493|180586|A/Arizona/03/2009|E2|2009-04-26, 2009.32, 0.000891, -0.000075
EPI_ISL_30159|179327|A/Washington/07/2009|C1|2009-04-28, 2009.32, 0.000891, -0.000075
EPI_ISL_63955|224176|A/Houston/15H/2009|harvest-Rh1|2009-05-01, 2009.33, 0.000891, -0.000112
EPI_ISL_62532|218039|A/New_York/4403/2009||2009-06-17, 2009.46, 0.000891, -0.000597
EPI_ISL_30096|179113|A/New_Mexico/04/2009|C1|2009-04-26, 2009.32, 0.000891, -0.000075
EPI_ISL_30154|179560|A/Oklahoma/02/2009|C1|2009-04-29, 2009.33, 0.000891, -0.000112
EPI_ISL_31203|183285|A/Washington/14/2009|ORIGINAL|2009-05-07, 2009.35, 0.000891, -0.000187
EPI_ISL_63960|224216|A/Houston/22H/2009|harvest-Rh1|2009-05-04, 2009.34, 0.000891, -0.000149
EPI_ISL_30568|181019|A/New_York/3178/2009||2009-04-28, 2009.32, 0.000891, -0.000075
EPI_ISL_30120|179205|A/Washington/09/2009|C1|2009-04-28, 2009.32, 0.000891, -0.000075
EPI_ISL_63954|224168|A/Houston/15OS/2009||2009-05-01, 2009.33, 0.000891, -0.000112
EPI_ISL_30718|181818|A/Ohio/10/2009|C1|2009-04-30, 2009.33, 0.000891, -0.000112
EPI_ISL_60935|211759|A/New_York/1669/2009||2009-04-26, 2009.32, 0.000891, -0.000075
EPI_ISL_30191|179562|A/Oregon/06/2009|C1|2009-04-28, 2009.32, 0.000891, -0.000075
EPI_ISL_30699|181756|A/Illinois/01/2009|C1|2009-04-24, 2009.31, 0.000891, -0.000038
EPI_ISL_61277|212593|A/New_York/3074/2009|RhMK1|2009-04-29, 2009.33, 0.000891, -0.000112
EPI_ISL_31571|184357|A/Nevada/04/2009|C1|2009-04-29, 2009.33, 0.000891, -0.000112
EPI_ISL_61621|214842|A/Wisconsin/629-D02473/2009|MDCK1|2009-05-03, 2009.34, 0.000891, -0.000149
EPI_ISL_63959|224208|A/Houston/22OS/2009||2009-05-04, 2009.34, 0.000891, -0.000149
EPI_ISL_30708|181788|A/Ohio/09/2009|C1|2009-05-05, 2009.34, 0.000891, -0.000149
EPI_ISL_80201|282951|A/San_Diego/WR1628P/2009|MDCK2|2009-06-10, 2009.44, 0.001478, 0.000065
EPI_ISL_30494|180589|A/Arizona/04/2009|E2|2009-04-27, 2009.32, 0.001479, 0.000512
EPI_ISL_30155|179561|A/Oregon/05/2009|C1|2009-04-29, 2009.33, 0.001478, 0.000474
EPI_ISL_32027|185427|A/Tennessee/07/2009|C2|2009-04-30, 2009.33, 0.001480, 0.000477
EPI_ISL_87601|308261|A/San_Diego/WRAIR1648P/2009|MDCK2|2009-04-28, 2009.32, 0.001480, 0.000514
EPI_ISL_32034|185444|A/Washington/18/2009|C2|2009-04-30, 2009.33, 0.000896, -0.000107
EPI_ISL_68110|237150|A/California/VRDL40/2009|P0|2009-07-01, 2009.5, 0.001480, -0.000157
EPI_ISL_34538|191937|A/Washington/29/2009|X|2009-07-14, 2009.53, 0.002651, 0.000902
EPI_ISL_29990|178487|A/Texas/15/2009|C1|2009-04-15, 2009.29, 0.002066, 0.001211
EPI_ISL_30973|182785|A/New_York/3307/2009||2009-05-01, 2009.33, 0.002064, 0.001061
EPI_ISL_65016|227770|A/Oregon/10/2009|C1|2009-06-15, 2009.45, 0.001485, 0.000034
EPI_ISL_87600|308253|A/San_Diego/WRAIR1647P/2009|MDCK2|2009-05-15, 2009.37, 0.001485, 0.000332
EPI_ISL_60825|211490|A/Texas/21/2009|C1|2009-04-26, 2009.32, 0.001485, 0.000518
EPI_ISL_65017|227777|A/Oregon/11/2009|C1|2009-06-18, 2009.46, 0.002066, 0.000578
EPI_ISL_73422|252215|A/Michigan/30/2009|Original|2009-04-10, 2009.27, 0.000903, 0.000123
EPI_ISL_31154|183104|A/Arizona/09/2009|C1-2|2009-05-19, 2009.38, 0.000906, -0.000284
EPI_ISL_30492|180584|A/Arizona/02/2009|E2|2009-04-26, 2009.32, 0.001489, 0.000523
EPI_ISL_31188|183209|A/Michigan/05/2009|C1|2009-05-05, 2009.34, 0.002656, 0.001615
EPI_ISL_60801|211432|A/Indiana/09/2009|E2|2009-04-22, 2009.31, 0.002653, 0.001724
EPI_ISL_31555|184307|A/Michigan/04/2009|C1|2009-04-24, 2009.31, 0.002076, 0.001147
EPI_ISL_60810|211455|A/Michigan/03/2009|C1|2009-04-27, 2009.32, 0.002076, 0.001110
EPI_ISL_61287|212673|A/New_York/3443/2009|RhMK1|2009-05-01, 2009.33, 0.001497, 0.000493
EPI_ISL_33228|187765|A/New_York/3460/2009||2009-05-04, 2009.34, 0.001497, 0.000456
EPI_ISL_32029|185433|A/Texas/20/2009|E2|2009-04-25, 2009.32, 0.002658, 0.001692
EPI_ISL_30723|181827|A/Texas/17/2009|E2|2009-04-24, 2009.31, 0.003236, 0.002307
EPI_ISL_63971|224304|A/Brownsville/35OS/2009||2009-05-27, 2009.4, 0.003239, 0.001974
EPI_ISL_63972|224312|A/Brownsville/35H/2009|harvest-Rh1|2009-05-27, 2009.4, 0.002661, 0.001397
EPI_ISL_31557|184319|A/Texas/37/2009|C1|2009-04-26, 2009.32, 0.002661, 0.001695
EPI_ISL_68099|237062|A/California/VRDL29/2009|P0|2009-06-24, 2009.48, 0.002078, 0.000515
EPI_ISL_30116|179182|A/Tennessee/05/2009|C1|2009-04-28, 2009.32, 0.002658, 0.001692
EPI_ISL_30133|191966|A/Alabama/02/2009|C1|2009-04-27, 2009.32, 0.002661, 0.001695
EPI_ISL_31168|194146|A/Georgia/02/2009|C1|2009-05-04, 2009.34, 0.002081, 0.001040
EPI_ISL_87598|308237|A/San_Diego/WRAIR1644P/2009|MDCK2|2009-06-03, 2009.42, 0.003242, 0.001903
EPI_ISL_87605|308293|A/San_Diego/WRAIR1654P/2009|MDCK2|2009-06-15, 2009.45, 0.003244, 0.001793
EPI_ISL_32020|221083|A/Illinois/03/2009|C2|2009-04-27, 2009.32, 0.002667, 0.001701
EPI_ISL_61538|214178|A/Wisconsin/629-D00244/2009|MDCK1|2009-05-02, 2009.33, 0.002667, 0.001664
EPI_ISL_60794|211421|A/Florida/06/2009|C1|2009-04-26, 2009.32, 0.002078, 0.001112
EPI_ISL_60793|211420|A/Florida/05/2009|C1|2009-04-28, 2009.32, 0.002078, 0.001112
EPI_ISL_30703|181770|A/Kentucky/05/2009|C1|2009-04-30, 2009.33, 0.001497, 0.000493
EPI_ISL_32032|185441|A/Virginia/05/2009|C2|2009-05-06, 2009.35, 0.001497, 0.000418
EPI_ISL_34537|191935|A/Washington/28/2009|X|2009-07-14, 2009.53, 0.001494, -0.000254
EPI_ISL_30139|179268|A/Kansas/03/2009|E2|2009-04-24, 2009.31, 0.002077, 0.001148
EPI_ISL_61288|212681|A/New_York/3454/2009||2009-05-11, 2009.36, 0.001499, 0.000384
EPI_ISL_61289|212689|A/New_York/3455/2009||2009-05-11, 2009.36, 0.001499, 0.000384
EPI_ISL_61294|212729|A/New_York/3574/2009||2009-05-17, 2009.38, 0.001501, 0.000312
EPI_ISL_61280|212617|A/New_York/3323/2009||2009-05-06, 2009.35, 0.001504, 0.000426
EPI_ISL_30100|179124|A/Florida/04/2009|C1|2009-04-27, 2009.32, 0.002088, 0.001122
EPI_ISL_31164|194140|A/Florida/08/2009|C1|2009-04-29, 2009.33, 0.002088, 0.001084
EPI_ISL_31169|194147|A/Georgia/03/2009|C1|2009-05-04, 2009.34, 0.002669, 0.001628
EPI_ISL_62652|218786|A/Wisconsin/629-D01154/2009|P0|2009-05-13, 2009.36, 0.003253, 0.002138
EPI_ISL_61583|214538|A/Wisconsin/629-D01606/2009|MDCK1|2009-05-03, 2009.34, 0.003834, 0.002794
EPI_ISL_61619|214826|A/Wisconsin/629-D02452/2009|MDCK1|2009-05-08, 2009.35, 0.002674, 0.001596
EPI_ISL_61550|214274|A/Wisconsin/629-D00722/2009|MDCK1|2009-05-19, 2009.38, 0.002674, 0.001484
EPI_ISL_61554|214306|A/Wisconsin/629-D00790/2009|MDCK1|2009-05-04, 2009.34, 0.002674, 0.001633
EPI_ISL_62643|218714|A/Wisconsin/629-D00725/2009|P0|2009-06-04, 2009.42, 0.002674, 0.001335
EPI_ISL_61569|214426|A/Wisconsin/629-D01226/2009|MDCK1|2009-05-04, 2009.34, 0.002674, 0.001633
EPI_ISL_61613|214778|A/Wisconsin/629-D02312/2009|MDCK1|2009-05-02, 2009.33, 0.002674, 0.001670
